The Boulevard Apartments,https://www.yelp.com/biz/the-boulevard-apartments-houston?search_key=58224,4.5,9
The Arlie,https://www.yelp.com/biz/the-arlie-apartments-arlington?search_key=25094,5,1
The U-Davis,https://www.yelp.com/biz/the-u-apartments-davis,2.5,20
Windermere Place,https://www.yelp.com/biz/windermere-place-muncie,1,1
Villas on Guadalupe,https://www.yelp.com/biz/villas-on-guadalupe-austin,2.5,15
The Venue on Guadalupe,https://www.yelp.com/biz/the-venue-on-guadalupe-apartments-austin?osq=venue+at+guadalupe,2.5,13
The Towers at UTC - Maryland,https://www.yelp.com/biz/towers-at-university-town-center-hyattsville?osq=towers+at+utc,3,14
Rio West,https://www.yelp.com/biz/rio-west-austin,3,8
Forum at Tallahassee,https://www.yelp.com/biz/400-meeting-street-student-apartments-charleston-2?osq=forum+at+tallahassee,4,2
Forum at Statesboro,https://www.yelp.com/biz/forum-at-statesboro-student-apartments-statesboro-2,5,1
Crest at Pearl,https://www.yelp.com/biz/crest-at-pearl-apartments-austin-2,1,1
12Fifty5 at University,https://www.yelp.com/biz/12fifty5-on-university-tempe?osq=12Fifty5+at+University,2.5,17
BLVD63,https://www.yelp.com/biz/blvd63-apartments-san-diego,4,63
West Village UC Davis,https://www.yelp.com/biz/west-village-davis?osq=west+village+at+uc,2,67
Metro Park East,https://www.yelp.com/biz/metro-park-east-apartments-minneapolis,1,14
33 North,https://www.yelp.com/biz/33-degrees-north-apartments-denton,1.5,6
University View,https://www.yelp.com/biz/university-view-college-park,1.5,9
Venue at North Campus,https://www.yelp.com/biz/venue-at-north-campus-apartments-tampa-2,2.5,4
